StrainID,ShortStrainCode,RRNATaxonomy,StrainIdentifierValue,StrainNameAlt,RCAMCollectionID
"764","IB2018P427-4","","IB2018P427-4","IB2018P427-4",""
"765","IB2018P427-5","","IB2018P427-5","IB2018P427-5",""
"766","IB2018P427-6","","IB2018P427-6","IB2018P427-6",""
"767","IB2018P427-7","","IB2018P427-7","IB2018P427-7",""
"768","IB2018P427-8","","IB2018P427-8","IB2018P427-8",""
"769","IB2018P427-9","","IB2018P427-9","IB2018P427-9",""
"770","IB2018P396","","IB2018P396","IB2018P396",""
"771","IB2018P397-1","","IB2018P397-1","IB2018P397-1",""
"772","IB2018U52-1","","IB2018U52-1","IB2018U52-1",""
"773","IB2018U52-3","","IB2018U52-3","IB2018U52-3",""
"774","IB2018U52-4","","IB2018U52-4","IB2018U52-4",""
"775","IB2018U53-1","","IB2018U53-1","IB2018U53-1",""
"776","IB2018U53-2","","IB2018U53-2","IB2018U53-2",""
"777","IB2018U2-2","","IB2018U2-2","IB2018U2-2",""
"778","IB2018U2-3","","IB2018U2-3","IB2018U2-3",""
"779","IB2018U3-4","","IB2018U3-4","IB2018U3-4",""
"780","IB2018U3-5","","IB2018U3-5","IB2018U3-5",""
"781","IB2018P427-10","","IB2018P427-10","IB2018P427-10",""
"782","IB2018U18-1An","Streptomyces sp.","Streptomyces sp. IB2018U18-1An","Streptomyces sp. IB2018U18-1An",""
"783","IB2018U25-1An","Streptomyces sp.","Streptomyces sp. IB2018U25-1An","Streptomyces sp. IB2018U25-1An",""
"784","IB2018U25-2An","Streptomyces sp.","Streptomyces sp. IB2018U25-2An","Streptomyces sp. IB2018U25-2An",""
"785","IB2018U25-1HSAn","Streptomyces sp.","Streptomyces sp. IB2018U25-1HSAn","Streptomyces sp. IB2018U25-1HSAn",""
"786","IB2018U99-1An","Streptomyces sp.","Streptomyces sp. IB2018U99-1An","Streptomyces sp. IB2018U99-1An",""
"787","IB2018U99-2An","Streptomyces sp.","Streptomyces sp. IB2018U99-2An","Streptomyces sp. IB2018U99-2An",""
"788","IB2018U99-3An","Streptomyces sp.","Streptomyces sp. IB2018U99-3An","Streptomyces sp. IB2018U99-3An",""
"789","IB2018U99-4HSAn","Streptomyces sp.","Streptomyces sp. IB2018U99-4HSAn","Streptomyces sp. IB2018U99-4HSAn",""
"790","IB2018U99-5HSAn","Streptomyces sp.","Streptomyces sp. IB2018U99-5HSAn","Streptomyces sp. IB2018U99-5HSAn",""
"791","IB2018U99-6HSAn","Streptomyces sp.","Streptomyces sp. IB2018U99-6HSAn","Streptomyces sp. IB2018U99-6HSAn",""
"792","IB2018U18-2HSAn","Streptomyces sp.","Streptomyces sp. IB2018U18-2HSAn","Streptomyces sp. IB2018U18-2HSAn",""
"793","IB2019K6-1","","IB2019K6-1","IB2019K6-1",""
"794","IB2019K6-2","","IB2019K6-2","IB2019K6-2",""
"795","IB2019K10-1","","IB2019K10-1","IB2019K10-1",""
"796","IB2019U16-3","","IB2019U16-3","IB2019U16-3",""
